#FamilyID	aly<0>	ath<1>	<2>	cru<3>	bol<4>	bra<5>	<6>	<7>	ppe<8>	mdo<9>	<10>	cpa<11>	rco<12>	ptr<13>	<14>	fve<15>	cme<16>	csa<17>	mtr<18>	car<19>	<20>	tca<21>	<22>	ccl<23>	<24>	<25>	<26>	gma<27>	Cquinoa<28>	Soleracea<29>	<30>	<31>	<32>	<33>	<34>	Bvulgaris<35>	sly<36>	stu<37>	<38>	<39>	<40>	Ahypochondriacus<41>	<42>	Mguttatus<43>	<44>	egr<45>	<46>	dianthus<47>	iceplant<48>	hylocereus<49>	<50>	ccan<51>	<52>	Vvi<53>	Klaxiflora<54>	Kfedtschenkoi<55>	<56>	<57>	<58>	dca<59>	<60>	<61>	<62>	<63>	osa<64>	zma<65>	<66>	<67>	<68>	Acomosus<69>	<70>	<71>	<72>	Atr<73>	<74>	
OG0000021	0.561382	0.0928834	0.623101	0.662695	4.65786e-05	0.640744	0.613053	1.15944e-10	0.00243639	3.08954e-12	0.0321304	0.4387	0.00474852	0.013279	0.100622	0.314891	0.609433	0.609433	0.110007	0.572592	0.549561	0.787322	0.754659	0.468175	0.703909	0.762286	0.291164	1.42464e-09	0.00149458	4.49391e-08	0.538274	0.519899	0.515843	0.0535986	0.601257	0.000252561	0.607085	0.607085	0.581939	0.579367	0.520562	0.0908216	0.00027643	0.731401	0.517078	0.292043	0.687769	1.83629e-06	0.0299963	0.0684785	0.515472	0.736834	0.60318	0.544866	1.96176e-11	0.331854	0.60733	0.64172	0.650583	0.789364	0.525588	0.000658111	0.166492	0.695259	0.644743	0.00115152	0.505665	0.509724	0.012236	0.792775	0.674892	0.773845	0.0530809	0.226359	N/A
OG0000022	0.555153	0.555153	0.611961	0.229409	0.587213	0.587213	0.602608	0.0291573	0.591802	3.91746e-13	0.695529	0.00916066	0.00621348	6.31659e-08	0.673217	0.000472614	0.00475889	0.621913	0.00917509	2.65495e-06	0.55602	0.803431	0.771953	0.00171748	0.721289	0.779384	0.724632	0.00144611	0.538849	1.57449e-16	0.543374	0.522644	0.518045	0.000733667	0.59046	0.0044456	0.00688353	0.590485	0.591911	0.589081	0.0309245	5.29362e-05	0.732442	0.21377	0.519445	0.54147	0.687769	0.756565	0.755575	0.20212	0.51976	0.000590666	0.615129	0.0286527	6.01448e-08	0.313007	0.60733	0.0882453	0.680151	0.0346757	0.52908	0.037286	0.744367	0.15172	0.239587	3.21172e-06	0.506466	0.51109	0.817045	0.353796	0.691426	0.02063	0.0617902	0.155243	N/A
OG0000024	0.567475	0.567475	0.0743363	0.251017	0.601774	0.601774	0.613053	0.00291359	2.1523e-06	0.000331653	0.0321304	0.00639177	0.18693	2.37203e-05	0.687708	0.735341	0.609433	2.69896e-06	2.6631e-07	4.80284e-08	0.549561	0.0553386	0.754659	0.0584296	0.161085	0.447038	0.724632	0.0888722	8.84673e-08	1.03525e-08	0.538274	0.519899	0.518045	0.000733667	0.579184	0.00323557	0.607085	0.0100037	0.581939	0.0445031	0.515543	0.0686408	0.00537499	0.748991	0.517078	0.814761	0.653395	0.718738	0.702455	0.0176474	0.517623	0.0361995	0.60318	0.00351421	6.49866e-07	0.68852	0.584167	0.612987	0.665944	0.276239	0.525588	0.0280613	0.355152	0.134114	0.665463	0.0270169	0.505665	0.509724	0.000150254	0.00919074	0.674892	0.773845	0.0530809	0.85376	N/A
OG0000027	0.0833552	0.555153	0.188317	0.662695	0.000341882	0.601774	0.613053	0.00291359	4.28189e-05	8.8978e-11	0.0321304	0.00639177	0.000180707	2.37203e-05	0.657482	0.314891	0.609433	0.609433	0.0503067	0.00226383	0.549561	0.0553386	0.754659	0.00894947	0.703909	0.762286	0.333969	8.90762e-08	3.77731e-14	0.042474	0.538274	0.519899	0.515843	0.00046685	0.567404	0.136602	0.563379	0.00102187	0.581939	0.579367	0.513003	0.599659	0.680298	0.711192	0.517078	0.814761	0.0112062	0.000776975	0.00214084	0.000508269	0.513306	0.337465	0.60318	0.180445	4.65002e-08	0.271625	0.596018	0.627819	0.23129	0.0199874	0.525588	0.0719251	0.726771	0.695259	0.00474082	0.0131826	0.505665	0.509724	0.779111	0.808598	0.674892	0.225379	0.0530809	0.589948	N/A
OG0000033	0.528809	0.528809	0.561538	0.585178	0.579607	0.579607	0.00173531	0.000957176	0.0013354	4.78587e-08	0.66044	0.402791	0.648588	0.0208553	0.0725968	0.00922608	0.0553	0.14624	4.50856e-16	0.588175	0.542954	0.424628	0.007294	0.0452236	0.284921	0.742098	0.00152317	0.692776	1.79733e-11	0.538849	0.533086	0.517131	0.513627	0.13738	0.0443058	0.00323557	0.00102187	0.563379	0.571572	0.569282	0.515543	0.176491	0.680298	0.711192	0.514693	0.0623919	0.0144957	1.22057e-05	0.00829909	0.740099	0.513306	0.716566	0.590612	0.81491	4.51131e-06	0.661489	0.60733	0.64172	0.63396	0.094595	0.522055	0.117099	0.0457607	0.676066	1.08396e-07	8.01002e-07	0.504862	0.508353	0.779111	0.28198	0.656706	0.0793123	0.0443155	0.551783	N/A
OG0000036	0.542274	0.542274	0.587988	0.182167	2.81343e-11	0.579607	0.58029	0.000957176	0.571485	0.0395358	0.66044	0.0362475	0.16442	0.00998354	0.640377	0.282716	0.582351	0.582351	0.0403343	2.99082e-05	0.542954	0.767842	0.734383	0.221786	0.68438	0.380227	0.673068	2.61522e-05	5.38318e-06	0.528232	0.533086	0.517131	0.513627	0.0417436	0.567404	0.136602	0.110159	0.572724	0.571572	0.569282	0.513003	0.599659	0.69967	0.731401	0.514693	0.476765	0.0112062	0.180439	0.0235564	0.722512	0.515472	0.372116	0.157063	0.325418	3.39482e-06	0.732073	0.596018	0.627819	0.650583	0.117002	0.525588	1.94781e-05	0.726771	0.695259	0.00262473	0.5961	0.505665	0.509724	0.741812	0.223667	0.0996291	0.753902	0.0443155	0.187952	N/A
OG0000044	0.528809	0.528809	0.561538	0.585178	0.00416897	0.571775	0.103351	0.000571772	0.0916945	0.00285623	0.640106	0.731304	0.592742	0.000236035	0.621763	0.247157	0.59626	0.59626	7.59389e-10	0.556052	0.536197	0.74405	0.710471	0.748516	0.662381	0.155285	0.640246	2.50295e-14	0.000370316	0.0342418	0.527807	0.514338	0.511395	0.115695	0.555094	0.574226	0.553708	0.553708	0.560792	0.558808	0.510444	0.582384	0.658552	0.125866	0.51229	0.774246	0.611887	0.256803	0.679505	0.0319555	0.511126	0.298257	0.577389	0.469012	2.60971e-06	0.224625	0.108511	0.597154	0.615954	0.746231	0.518483	0.0907682	0.683503	0.654595	0.633538	0.0821084	0.504056	0.506975	0.000466926	0.392251	0.63667	0.729908	0.035503	0.50216	N/A
OG0000048	0.535617	0.0536286	0.57509	0.602917	0.0447635	0.579607	0.568367	2.35089e-05	0.0916945	1.12994e-06	0.640106	0.360939	0.140663	0.000236035	0.621763	0.247157	0.609433	0.609433	0.547403	0.0714727	0.536197	0.382337	0.710471	0.389905	0.662381	0.0521878	0.214696	1.40034e-10	5.38318e-06	0.000174717	0.527807	0.514338	0.511395	0.115695	0.567404	0.136602	0.0288842	0.553708	0.560792	0.558808	0.513003	0.599659	0.658552	0.0357436	0.51229	0.774246	0.633633	0.132619	0.276451	0.679505	0.511126	0.693072	0.577389	0.469012	0.0108036	0.171034	0.571749	0.597154	0.615954	0.386028	0.518483	0.766792	0.683503	0.654595	0.58221	0.58221	0.504056	0.506975	0.717822	0.749896	0.63667	0.729908	0.035503	0.50216	N/A
OG0000049	0.000941013	0.535617	0.57509	0.602917	0.601774	0.601774	0.568367	2.25253e-09	0.00101829	1.58484e-06	0.0692348	0.311788	0.115576	0.576476	0.57937	0.608443	0.552133	0.552133	0.0440288	0.529301	0.529284	0.332088	0.682116	0.154657	0.209564	0.291291	0.153679	0.0143739	5.38318e-06	0.528232	0.522437	0.51152	0.509147	0.650371	0.567404	0.590098	0.563379	0.563379	0.549579	0.547929	0.513003	0.599659	0.680298	0.711192	0.509868	0.745265	0.235434	0.718738	0.314266	0.000302137	0.513306	0.0215293	0.117129	0.469012	1.15988e-05	0.68852	0.584167	0.612987	0.63396	0.218696	0.0331674	0.00276743	0.706633	0.676066	7.05347e-05	8.00401e-06	0.504862	0.508353	0.741812	0.223667	0.0835163	0.167909	0.035503	0.0128894	N/A
OG0000053	0.542274	0.542274	0.587988	0.619449	0.628489	0.078764	0.58029	4.64412e-13	0.0746134	0.0264062	0.0117596	0.702178	0.115576	0.0045867	0.601484	0.00580361	0.567659	0.102149	0.529301	0.529301	0.529284	0.332088	0.682116	0.339329	0.637542	0.68941	0.153679	4.28755e-06	0.000583979	1.06975e-06	0.522437	0.51152	0.509147	0.650371	0.567404	0.00220042	0.0810414	0.0288842	0.549579	0.547929	0.513003	0.599659	0.658552	0.125866	0.509868	0.0706045	0.633633	0.132619	0.0123719	0.679505	0.511126	0.0151823	0.563473	0.416978	6.49866e-07	0.68852	0.571749	0.597154	0.615954	0.0722852	0.0277777	0.000489006	0.683503	0.654595	0.552039	0.552039	0.504056	0.506975	0.290856	0.156074	0.0671282	0.700818	0.0266534	0.0466619	N/A
OG0000054	0.0536286	0.0186767	0.57509	0.602917	0.0545799	0.594599	0.568367	6.99381e-08	0.000901389	9.14105e-10	0.640106	0.360939	0.00235369	0.592742	0.621763	0.000471925	0.582351	0.00178821	0.547403	0.547403	0.536197	0.382337	0.710471	0.748516	0.662381	0.718105	0.621644	0.0216068	0.000843422	0.000260692	0.527807	0.514338	0.511395	0.67647	0.579184	0.00323557	0.533338	0.0501073	0.560792	0.558808	0.515543	0.615799	0.204189	0.101702	0.51229	0.434365	0.653395	4.07098e-05	0.0176474	0.00395796	0.508931	0.665726	0.577389	0.793614	3.22967e-05	0.630058	0.584167	0.612987	0.176485	0.746231	0.518483	0.212597	0.121907	0.654595	0.5961	0.5961	0.504056	0.506975	0.035831	0.0220408	0.0671282	0.700818	0.565155	0.146159	N/A
