FamilyID	aly<0>	ath<1>	<2>	cru<3>	bol<4>	bra<5>	<6>	<7>	ppe<8>	mdo<9>	<10>	cpa<11>	rco<12>	ptr<13>	<14>	fve<15>	cme<16>	csa<17>	mtr<18>	car<19>	<20>	tca<21>	<22>	ccl<23>	<24>	<25>	<26>	gma<27>	Cquinoa<28>	Soleracea<29>	<30>	<31>	<32>	<33>	<34>	Bvulgaris<35>	sly<36>	stu<37>	<38>	<39>	<40>	Ahypochondriacus<41>	<42>	Mguttatus<43>	<44>	egr<45>	<46>	dianthus<47>	iceplant<48>	hylocereus<49>	<50>	ccan<51>	<52>	Vvi<53>	Klaxiflora<54>	Kfedtschenkoi<55>	<56>	<57>	<58>	dca<59>	<60>	<61>	<62>	<63>	osa<64>	zma<65>	<66>	<67>	<68>	Acomosus<69>	<70>	<71>	<72>	Atr<73>	<74>
OG0000021	+0	-1	+0	+0	+4	+0	+0	+9	-2	+8	+2	-1	-2	+2	+1	-1	+0	+0	-1	+0	+0	+0	+0	-1	+0	+0	-1	+9	+2	-4	+0	+0	+0	+2	+0	-3	+0	+0	+0	+0	+0	+1	+4	+0	+0	+1	+0	+7	-2	+2	+0	+0	+0	-1	+10	-1	+0	+0	+0	+0	+0	+5	+1	+0	+0	+3	+0	+0	+3	+0	+0	+0	+1	-2	+0
OG0000022	+0	+0	+0	-1	+0	+0	+0	+2	+0	-7	+0	-3	-2	+6	+0	+4	-2	+0	+2	-4	+0	+0	+0	-4	+0	+0	+0	+4	+0	-7	+0	+0	+0	+4	+0	-2	+2	+0	+0	+0	-1	+4	+0	+1	+0	-1	+0	+0	+0	+1	+0	-4	+0	-3	+7	-1	+0	+1	+0	+3	+0	+3	+0	+1	-1	+5	+0	+0	+0	+1	+0	+3	+1	+2	+0
OG0000024	+0	+0	+1	-1	+0	+0	+0	+3	-4	+3	+2	-3	-1	+4	+0	+0	+0	-4	+5	-5	+0	-2	+0	-2	+1	-1	+0	+2	+4	-4	+0	+0	+0	+4	+0	-2	+0	+2	+0	+1	+0	+1	+3	+0	+0	+0	+0	+0	+0	-2	+0	-2	+0	-4	+6	+0	+0	+0	+0	+1	+0	+3	-1	+1	+0	+2	+0	+0	+5	-3	+0	+0	+1	+0	+0
OG0000027	-1	+0	-1	+0	+3	+0	+0	+3	-3	+7	+2	-3	-3	+4	+0	-1	+0	+0	+1	-2	+0	-2	+0	-3	+0	+0	-1	+8	+7	-1	+0	+0	+0	+4	+0	-1	+0	-2	+0	+0	+0	+0	+0	+0	+0	+0	-2	+4	-3	+4	+0	-1	+0	-2	+7	-1	+0	+0	-1	+3	+0	+2	+0	+0	-2	+2	+0	+0	+0	+0	+0	+1	+1	-1	+0
OG0000033	+0	+0	+0	+0	+0	+0	-2	+3	-2	+5	+0	-1	+0	+2	+1	-2	+1	-1	+10	+0	+0	-1	+3	-2	-1	+0	+3	+0	+6	+0	+0	+0	+0	+1	+1	-2	-2	+0	+0	+0	+0	-1	+0	+0	+0	-2	-2	+6	+3	+0	+0	+0	+0	+0	+5	+0	+0	+0	+0	+2	+0	+2	+2	+0	-5	+5	+0	+0	+0	+1	+0	+2	+1	-1	+0
OG0000036	+0	+0	+0	-1	+7	+0	+0	+3	+0	+1	+0	-2	-1	+2	+0	-1	+0	+0	+1	-3	+0	+0	+0	+1	+0	-1	+0	+5	+3	+0	+0	+0	+0	+2	+0	-1	-1	+0	+0	+0	+0	+0	+0	+0	+0	-1	-2	+1	-2	+0	+0	-1	-1	+1	+6	+0	+0	+0	+0	+2	+0	+7	+0	+0	-2	+0	+0	+0	+0	+1	+1	+0	+1	-2	+0
OG0000044	+0	+0	+0	+0	+2	+0	-1	+3	-1	+2	+0	+0	+0	+3	+0	-1	+0	+0	-5	+0	+0	+0	+0	+0	+0	+1	+0	+12	+2	-1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	-1	+0	+2	+0	-1	+0	-1	+5	-1	-1	+0	+0	+0	+0	+2	+0	+0	+0	+1	+0	+0	+4	-1	+0	+0	+1	-1	+0
OG0000048	+0	-1	+0	+0	+1	+0	+0	+4	-1	+4	+0	-1	-1	+3	+0	-1	+0	+0	+0	-1	+0	-1	+0	-1	+0	+2	-1	+9	+3	-2	+0	+0	+0	+1	+0	-1	+1	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+1	-1	+0	+0	+0	+0	-1	+2	-1	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	-1	+0
OG0000049	+2	+0	+0	+0	+0	+0	+0	+7	+2	-3	+1	-1	-1	+0	+0	+0	+0	+0	-1	+0	+0	-1	+0	+1	-1	-1	-1	+2	+3	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	-1	+4	+0	-2	-1	-1	+5	+0	+0	+0	+0	+1	-1	+4	+0	+0	-3	+4	+0	+0	+0	+1	+1	+1	+1	-3	+0
OG0000053	+0	+0	+0	+0	+0	+1	+0	+10	-1	+1	+2	+0	-1	+2	+0	-2	+0	-1	+0	+0	+0	-1	+0	-1	+0	+0	-1	+5	+2	-3	+0	+0	+0	+0	+0	-2	-1	+1	+0	+0	+0	+0	+0	+1	+0	+2	+0	+1	-2	+0	+0	-2	+0	-1	+6	+0	+0	+0	+0	+2	-1	+5	+0	+0	+0	+0	+0	+0	-1	+1	+1	+0	+1	-2	+0
