#Taxon_ID	Increase	Decrease
<63>	140	550
Ahypochondriacus<41>	391	346
dca<59>	939	1290
<58>	44	362
<61>	836	3188
mtr<18>	326	277
<72>	11	0
<71>	172	3662
Acomosus<69>	335	510
Atr<73>	534	305
osa<64>	138	305
zma<65>	482	279
<32>	0	317
<70>	252	295
<62>	274	1620
<57>	153	300
hylocereus<49>	686	344
iceplant<48>	697	572
<66>	5	567
sly<36>	388	98
stu<37>	276	604
<67>	12	1162
<68>	177	1031
<39>	102	746
cme<16>	339	119
<31>	20	573
gma<27>	2684	128
egr<45>	595	2274
<40>	38	77
<26>	23	284
<42>	365	667
ccan<51>	344	1237
<50>	58	400
Mguttatus<43>	475	920
Bvulgaris<35>	193	619
<34>	185	57
Kfedtschenkoi<55>	32	169
Cquinoa<28>	2120	58
Vvi<53>	585	1909
tca<21>	255	936
<20>	57	512
fve<15>	204	875
<33>	1122	851
<52>	42	98
<44>	20	119
<14>	197	120
Soleracea<29>	66	681
Klaxiflora<54>	1868	16
<60>	29	177
<56>	66	281
dianthus<47>	821	805
<46>	77	261
<25>	117	1277
<24>	298	322
car<19>	80	979
ppe<8>	115	674
cru<3>	46	178
<2>	34	52
ptr<13>	2157	286
rco<12>	149	650
<30>	7	437
bra<5>	206	59
bol<4>	589	52
cpa<11>	509	669
<38>	31	523
ccl<23>	262	900
aly<0>	244	51
<10>	396	1656
mdo<9>	2386	332
<22>	163	259
csa<17>	104	171
<7>	1002	44
ath<1>	66	90
<6>	25	142
