#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000021	0.0189066	1.03356e-261	5.92247e-77	1.74516e-185	N/S
OG0000021	0.427951	1.17508e-134	5.92247e-77	1.9841e-58	N/S
OG0000021	2.55314	5.92247e-77	5.92247e-77	1	*
OG0000022	0.0189066	1.5558e-260	2.00663e-82	7.75327e-179	N/S
OG0000022	0.427951	1.23487e-137	2.00663e-82	6.15395e-56	N/S
OG0000022	2.55314	2.00663e-82	2.00663e-82	1	*
OG0000024	0.0189066	6.72412e-256	1.71538e-76	3.91991e-180	N/S
OG0000024	0.427951	2.33502e-131	1.71538e-76	1.36122e-55	N/S
OG0000024	2.55314	1.71538e-76	1.71538e-76	1	*
OG0000027	0.0189066	1.61879e-264	1.86062e-79	8.70027e-186	N/S
OG0000027	0.427951	2.03091e-137	1.86062e-79	1.09152e-58	N/S
OG0000027	2.55314	1.86062e-79	1.86062e-79	1	*
OG0000033	0.0189066	4.68125e-247	6.67318e-77	7.01502e-171	N/S
OG0000033	0.427951	2.20312e-130	6.67318e-77	3.30146e-54	N/S
OG0000033	2.55314	6.67318e-77	6.67318e-77	1	*
OG0000036	0.0189066	8.82235e-176	2.83096e-54	3.11638e-122	N/S
OG0000036	0.427951	3.5493e-89	2.83096e-54	1.25375e-35	N/S
OG0000036	2.55314	2.83096e-54	2.83096e-54	1	*
OG0000044	0.0189066	3.78783e-160	7.71235e-55	4.91139e-106	N/S
OG0000044	0.427951	5.36807e-86	7.71235e-55	6.96036e-32	N/S
OG0000044	2.55314	7.71235e-55	7.71235e-55	1	*
OG0000048	0.0189066	1.24904e-139	9.22444e-50	1.35405e-90	N/S
OG0000048	0.427951	2.00705e-75	9.22444e-50	2.17579e-26	N/S
OG0000048	2.55314	9.22444e-50	9.22444e-50	1	*
OG0000049	0.0189066	4.99353e-169	4.3056e-55	1.15977e-114	N/S
OG0000049	0.427951	9.36964e-90	4.3056e-55	2.17615e-35	N/S
OG0000049	2.55314	4.3056e-55	4.3056e-55	1	*
OG0000053	0.0189066	6.03391e-182	2.03089e-55	2.97107e-127	N/S
OG0000053	0.427951	4.28369e-94	2.03089e-55	2.10926e-39	N/S
OG0000053	2.55314	2.03089e-55	2.03089e-55	1	*
OG0000054	0.0189066	1.29781e-170	4.97482e-55	2.60875e-116	N/S
OG0000054	0.427951	9.35329e-90	4.97482e-55	1.88013e-35	N/S
OG0000054	2.55314	4.97482e-55	4.97482e-55	1	*
OG0000055	0.0189066	3.60963e-171	5.46563e-52	6.60423e-120	N/S
OG0000055	0.427951	2.4544e-88	5.46563e-52	4.49061e-37	N/S
OG0000055	2.55314	5.46563e-52	5.46563e-52	1	*
OG0000057	0.0189066	3.67119e-193	1.91906e-61	1.91302e-132	N/S
OG0000057	0.427951	2.33259e-103	1.91906e-61	1.21549e-42	N/S
OG0000057	2.55314	1.91906e-61	1.91906e-61	1	*
OG0000058	0.0189066	4.77857e-200	1.49605e-66	3.19413e-134	N/S
OG0000058	0.427951	1.05983e-108	1.49605e-66	7.08419e-43	N/S
OG0000058	2.55314	1.49605e-66	1.49605e-66	1	*
OG0000061	0.0189066	2.3646e-133	3.7956e-46	6.22984e-88	N/S
OG0000061	0.427951	3.01277e-71	3.7956e-46	7.93753e-26	N/S
OG0000061	2.55314	3.7956e-46	3.7956e-46	1	*
OG0000062	0.0189066	1.88122e-141	3.75597e-50	5.0086e-92	N/S
OG0000062	0.427951	3.4006e-77	3.75597e-50	9.05383e-28	N/S
OG0000062	2.55314	3.75597e-50	3.75597e-50	1	*
OG0000063	0.0189066	1.47928e-185	4.73527e-64	3.12396e-122	N/S
OG0000063	0.427951	9.07172e-103	4.73527e-64	1.91578e-39	N/S
OG0000063	2.55314	4.73527e-64	4.73527e-64	1	*
OG0000064	0.0189066	6.48019e-135	7.06841e-44	9.16783e-92	N/S
OG0000064	0.427951	4.39459e-70	7.06841e-44	6.21723e-27	N/S
OG0000064	2.55314	7.06841e-44	7.06841e-44	1	*
OG0000065	0.0189066	1.22064e-135	6.11006e-44	1.99775e-92	N/S
OG0000065	0.427951	1.33223e-70	6.11006e-44	2.1804e-27	N/S
OG0000065	2.55314	6.11006e-44	6.11006e-44	1	*
OG0000067	0.0189066	1.20085e-144	3.25213e-49	3.6925e-96	N/S
OG0000067	0.427951	5.90464e-78	3.25213e-49	1.81562e-29	N/S
OG0000067	2.55314	3.25213e-49	3.25213e-49	1	*
OG0000070	0.0189066	2.77104e-197	1.03956e-60	2.66558e-137	N/S
OG0000070	0.427951	5.10161e-104	1.03956e-60	4.90745e-44	N/S
OG0000070	2.55314	1.03956e-60	1.03956e-60	1	*
OG0000071	0.0189066	1.39522e-180	8.95113e-56	1.55871e-125	N/S
OG0000071	0.427951	4.84404e-95	8.95113e-56	5.41165e-40	N/S
OG0000071	2.55314	8.95113e-56	8.95113e-56	1	*
OG0000073	0.0189066	9.43027e-143	9.99008e-45	9.43964e-99	N/S
OG0000073	0.427951	2.52521e-74	9.99008e-45	2.52772e-30	N/S
OG0000073	2.55314	9.99008e-45	9.99008e-45	1	*
OG0000074	0.0189066	3.39719e-137	4.36632e-46	7.78045e-92	N/S
OG0000074	0.427951	3.53399e-73	4.36632e-46	8.09375e-28	N/S
OG0000074	2.55314	4.36632e-46	4.36632e-46	1	*
OG0000075	0.0189066	2.96241e-128	1.12205e-42	2.64018e-86	N/S
OG0000075	0.427951	2.78421e-67	1.12205e-42	2.48136e-25	N/S
OG0000075	2.55314	1.12205e-42	1.12205e-42	1	*
OG0000076	0.0189066	2.95499e-128	2.7533e-46	1.07325e-82	N/S
OG0000076	0.427951	1.2559e-69	2.7533e-46	4.56144e-24	N/S
OG0000076	2.55314	2.7533e-46	2.7533e-46	1	*
OG0000079	0.0189066	2.71967e-138	1.22689e-46	2.21672e-92	N/S
OG0000079	0.427951	1.90338e-74	1.22689e-46	1.55139e-28	N/S
OG0000079	2.55314	1.22689e-46	1.22689e-46	1	*
OG0000080	0.0189066	1.70769e-189	2.91987e-60	5.8485e-130	N/S
